program_id,focus_sectors,location,program_name,program_type,pogram_description,program_objectives,program_eligibility,funding,organizations,org_category,further_info,update_date
1444,Residential,Manitoba,Home Energy Efficiency Loan,"Financial Incentive,Retrofit",,"The Home Energy Efficiency Loan is a convenient and affordable financing option for homeowners to make energy efficiency upgrades to their home. The monthly payment is added to the energy bill and no down payment is required. The loan covers upgrades for:<ul>
<li>windows and doors;</li>
<li>residential space heating equipment;</li>
<li>geothermal and cold climate air source heat pumps;</li>
<li>insulation;</li>
<li>air leakage sealing;</li>
<li>ventilation;</li>
<li>residential water heating equipment;</li>
<li>level 2 electric vehicle chargers; and</li>
<li>solar photovoltaic systems.</li></ul>",,,Manitoba Hydro,Utility company,,2022-02-15 00:00:00.0
1516,Residential,Nova Scotia,Nova Scotia - Your Energy Rebate,"Financial Incentive,Rebate",,"Your Energy Rebate is a program designed to help Nova Scotians with the rising cost of home energy.  For most participants, the rebate will be automatically taken off the bill by the power company and fuel distributors (oil, propane (home-delivered), natural gas). For other energy sources, such as firewood and wood pellets, Nova Scotians will be able to apply for the rebate.<br><br>
",,,Government of Nova Scotia,Provincial government,,2022-05-04 00:00:00.0
1561,Residential,Canada,CMHC Green Home,"Energy Star,Financial Incentive",,"This Program offers a premium refund of up to 25% to borrowers who buy, build or renovate for energy efficiency using CMHC-insured financing. For example:<ul>
<li>Receive a 15% premium refund for a home built to ENERGY STAR® building standards </li>
<li>Receive a 25% premium refund for a home built to R-2000 building standards </li>
</ul>",,,Canada Mortgage and Housing Corporation (CMHC),Federal government,,2018-11-21 00:00:00.0
1579,Commercial/Institutional,Canada,Energy Efficiency for Buildings,"Awareness/Information,Energy Management and Monitoring,Training/Technical Assistance",,"Natural Resources Canada's Office of Energy Efficiency supports building owners in the commercial and institutional sectors. Some of our activities include:<ul>

<li>training for industry professionals </li>
<li>free technical publications and case studies on energy-efficient practices and technologies </li>
<li>development of a energy rating and labelling system</li> 
<li>collaborative relationships with provinces/territories, utilities, non-government organizations </li>
<li>maintaining a network of energy management service providers across the country </li>
<li>encouraging the optimisation of building systems 
</li>
<li>promotion of energy performance contracting to help finance projects in large facilities </li></ul>


",,,"Natural Resources Canada (NRCan), Office of Energy Efficiency (OEE)",Federal government,,2018-11-21 00:00:00.0
1583,Residential,Canada,Energy Efficiency Regulations: Regulations and Standards,"Energy Star,Standards (Voluntary or Regulated)",,"The Office of Energy Efficiency (OEE) is working to improve the energy efficiency of consumer products and equipment in Canada by amending Canada's Energy Efficiency Regulations. The OEE helps Canadians make energy-efficient choices when buying, selling or manufacturing energy-using equipment. By prescribing minimum energy efficiency performance levels, inefficient energy-using equipment is eliminated from the Canadian market. EnerGuide for Equipment rates and labels the energy efficiency of major household electrical appliances and heating, ventilating and air-conditioning (HVAC) equipment. The EnerGuide label shows how much energy major appliances use so one can easily compare models of the same size and class. The international ENERGY STAR<sup>®</sup> symbol identifies the most energy-efficient products in their class. Products that carry the ENERGY STAR symbol meet premium levels of energy efficiency - most are 10 to 50 percent more efficient than the minimum regulated standard in Canada.",,,"Natural Resources Canada (NRCan), Office of Energy Efficiency (OEE)",Federal government,,2018-11-21 00:00:00.0
1614,Transportation,British Columbia,BC Scrap-It Program,"Financial Incentive,Rebate",,"Scrap-It is a voluntary early retirement vehicle program providing incentives to help British Columbians replace higher polluting vehicles with cleaner forms of transportation. Owners of Model Year 2000 or older vehicles are able to choose from a list of incentives, including transit passes, bicycles, car sharing memberships, new or used cars, or $200&nbsp;cash.",,,Government of British Columbia,Provincial government,,2018-11-21 00:00:00.0
1616,Residential,Alberta,SunRidge BuiltGreen Homeowner Rebate ,"Financial Incentive,New Construction",,"Built Green<sup class="" small""="">TM</sup> is an industry driven voluntary program that promotes ""green"" building practices to reduce the impact that building has on the environment. As part of its commitment to a sustainable community, the City of Lethbridge is offering home buyers in the SunRidge development  financial incentives to maximize energy efficiency in their homes ($2,500 for Silver; $3,500 for Gold).",,,City of Lethbridge,Municipal government,,2018-11-21 00:00:00.0
1731,Residential,Quebec,Energy Performance Indicator,"Advice,Awareness/Information,Energy Management and Monitoring",,"This tool provides homeowners with a free personalized report containing  energy-savings measures,  an estimate (in dollars and in kilowatthours) of the savings they can expect if they change their habits or equipment,  and a breakdown of their energy costs (heating, appliances, etc.).
",,,Hydro-Québec,Utility company,,2022-05-04 00:00:00.0
1815,Transportation,Canada,ecoTECHNOLOGY for Vehicles Program,Research and Development,,"This Program is helping to reduce the environmental impacts of passenger vehicles by making sure that the latest clean vehicle technologies become available safely and quickly in Canada. It does this by working with manufacturers to acquire and test and to address barriers to the introduction of new passenger vehicle technologies in Canada. Its test results also help inform the development of regulations, codes and standards for the next generation of advanced vehicles, including electric, fuel cell and plug-in electric hybrid vehicles, among others. 
",,,Transport Canada,Federal government,,2018-11-21 00:00:00.0
1838,Residential,Canada,Thermostat Recovery Program,Energy Management and Monitoring,,"The Thermostat Recovery Program (TRP) is a stewardship program focused on recovering and recycling thermostats that are no longer in use. The TRP accepts mercury-containing, electronic and mechanical thermostats and ensures that all the components, especially the mercury, are kept out of the waste stream.",,,"Heating, Refrigeration and Air Conditioning Institute (HRAI)",Other organization,,2021-01-27 00:00:00.0
1839,Residential,Ontario,Energy-Efficient Housing Program,"Energy Star,Financial Incentive",,"Through the Energy-Efficient Housing Program, home buyers purchasing an energy-efficient home (including R-2000 and ENERGY STAR) or refinancing an existing home to make energy-saving renovations with Genworth-insured mortgages are eligible to receive a 25 percent premium refund. In addition, the extended amortization surcharge will be refunded for loans with an amortization over 25 years.",,,Sagen,Other organization,,2022-05-04 00:00:00.0
2114,Residential,Quebec,Éconologis,"Advice,Energy Management and Monitoring",,"Éconologis is a seasonal energy efficiency program available to low-income households. It provides personalized advice and suggestions about products that will help improve the energy efficiency of the home, regardless of the type of energy used. A consultant and technician will visit the homeowner to provide advice on how to save on energy consumption. Free electronic thermostats are provided to help make the home more comfortable and cut down on heating bills.<br><br>

",,,"Gouvernement du Québec, Transition énergétique Québec",Provincial government,,2018-11-21 00:00:00.0
2262,Residential,Newfoundland and Labrador,takeCHARGE Thermostat Rebate Program,"Financial Incentive,Rebate",,This Program offers residents rebates on the purchase of a programmable thermostat ($10.00) or electronic thermostat ($5.00).,,,Newfoundland Power and Newfoundland and Labrador Hydro,Utility company,,2018-11-21 00:00:00.0
2263,Residential,Newfoundland and Labrador,takeCHARGE Insulation Rebate Program,"Financial Incentive,Rebate,Retrofit",,"This Program offers residents a rebate for 75% of basement wall (min R18 to max R25) or basement ceiling (min R30 to max R35) insulation costs up to $1,000 and 50% of attic insulation (min R50 to max R55) costs up to $1,000.  
<br><br>",,,Newfoundland Power and Newfoundland and Labrador Hydro,Utility company,,2018-11-21 00:00:00.0
2666,"Residential,Transportation",Alberta,Town of Banff Residential Environmental Rebates Program,"Awareness/Information,Energy Star,Financial Incentive,Rebate,Retrofit",,"Residents of the Town of Banff may apply for rebates and incentives when adding green and energy-efficient features to their homes. Rebates and incentives include the following:<ul>
<li>high-efficiency (ENERGY STAR certified) full-sized refrigerators - up to $300 post-purchase rebate</li>
<li>window and door (ENERGY STAR certified) replacement rebate - up to $200 post-purchase</li>
<li>certified Solar Hot Water System Rebate - up to $650 post-purchase rebate</li>
<li>high-efficiency (ENERGY STAR certified) dishwasher - up to $100 post-purchase rebate</li>
<li>high-efficiency (ENERGY STAR certified) furnace - up to $500 post-purchase rebate</li>
<li>energy audit rebate - up to $500 post-purchase rebate</li>
<li>ENERGY STAR clothes washers - up to $150 post-purchase rebate</li>
<li>E-bikes - up to $750 post-purchase rebate</li>
<li>snow and ice walking aids - up to $20 post-purchase rebate</li>
<li>Studded bike tires or bike conversion kit - up to $40 per tire or kit post-purchase rebate</li></ul>",,,Town of Banff,Municipal government,,2018-11-21 00:00:00.0
2789,Residential,Canada,Energy Efficiency for Homes,"Awareness/Information,Energy Star,Retrofit,Standards (Voluntary or Regulated)",,"Natural Resources Canada's Office of Energy Efficiency encourages the construction and retrofit of low-rise residential housing, making the stock more energy efficient. <br><br>
The EnerGuide Rating System (ERS) is a standard measure of the energy performance of new and existing homes. The rating allows you to compare the energy performance of one house against another. The ENERGY STAR<sup>®</sup> for New Homes initiative promotes construction of new homes that are more energy efficient than those built to minimum building code requirements. The R-2000 Standard is a voluntary standard whereby homes are constructed by licensed and trained builders and are significantly more energy efficient than those built to minimum building code requirements, having additional elements such as clean air features and high levels of insulation.",,,"Natural Resources Canada (NRCan), Office of Energy Efficiency (OEE)",Federal government,,2018-11-21 00:00:00.0
2830,Commercial/Institutional,Nova Scotia,Green Schools Nova Scotia,"Advice,Awareness/Information,Energy Management and Monitoring",,"Green Schools teaches students about energy efficiency and helps schools reduce their environmental footprint. The program works with the whole school - students, staff, parents, and community members - to strengthen positive efforts already underway and help establish new leadership in schools that are ready to go green.<br><br>

",,,Green Schools Nova Scotia,Other organization,,2018-11-21 00:00:00.0
2846,"Commercial/Institutional,Industrial",Saskatchewan,Building Operator Training Program,"Advice,Awareness/Information,Energy Management and Monitoring,Retrofit",,"This Program is designed to introduce custodians and building operators to energy conservation principles, new technologies and facility retrofits that will save energy and money. Topic areas covered are lighting, electrical equipment, heating ventilation and cooling, and water. Participants will learn:<ul>
<li>advantages and benefits of energy efficient equipment;</li>
<li>discussion of proposed or recent retrofits, and how they will affect building occupants and operators (where applicable);</li>
<li>energy-efficient operation of building and its components;</li>
<li>how to save energy through waste reduction and efficient use of water.</li></ul>

",,,Saskatchewan Environmental Society,Other organization,,2018-11-21 00:00:00.0
2866,"Commercial/Institutional,Industrial",Saskatchewan,Energy Awareness Training Program,"Advice,Awareness/Information,Energy Management and Monitoring,Training/Technical Assistance",,"Energy Awareness training is a program that builds teamwork among co-workers in conserving energy, water and reducing waste all the while reducing costs at work and at home. The session provides information that will help individuals save both energy and money. The following topics are covered under the program:<ul>
<li>issues related to energy production and use;</li>
<li>energy-efficiency ratings;</li>
<li>energy-efficient use of office equipment, kitchen and lunch room, lighting, heating, ventilating and air conditioning systems, building envelope;</li>
<li>how to save energy through waste reduction and efficient use of water;</li>
<li>energy-efficient transportation.</li></ul>

",,,Saskatchewan Environmental Society,Other organization,,2024-07-10 00:00:00.0
2886,"Commercial/Institutional,Transportation",Alberta,Town of Banff Commercial Environmental Rebates Program,"Advice,Awareness/Information,Energy Management and Monitoring,Energy Star,Financial Incentive,Rebate",,"The program has incentives for dual flush and low flow toilets, Energy Star dishwashers, Energy Star refrigerators, Energy Star doors, Energy Star windows, and energy audits or greenhouse gas audits.",,,Town of Banff,Municipal government,,2022-05-15 00:00:00.0
3446,Residential,British Columbia,Energy Conservation Assistance Program ,"Financial Incentive,Retrofit",,"This Program, in partnership with BC Hydro Power Smart, provides qualified, low-income natural gas residential customers with a free home energy evaluation, free installation of energy saving products and personalized advice to help them save energy and money on their utility bill. The energy saving products installed may include:<ul>
<li>LED light bulbs</li>
<li>kitchen and bathroom faucet aerators</li>
<li>water-efficient showerheads</li>
<li>exterior door weatherstripping</li>
<li>clothes drying rack or clothesline</li></ul>
",,,FortisBC - Homes,Utility company,,2022-05-15 00:00:00.0
3466,Residential,Nova Scotia,Home Energy Assessment Program,"Awareness/Information,Financial Incentive,Retrofit",,"Efficiency Nova Scotia provides support to homeowners in the form of EnerGuide evaluations, rebates, and/or low interest financing. The information and expertise from an energy advisor, and access to financial incentives help to encourage homeowners to conduct upgrades to improve the energy efficiency of their home and help homes achieve improved EnerGuide ratings.
",,,Efficiency Nova Scotia,Provincial government,,2018-11-21 00:00:00.0
3467,Residential,Canada,EcoSave Energy Retrofits Program ,"Awareness/Information,Financial Incentive,Retrofit",,"EcoSave is an energy retrofits program that offers on-bill financing to residents. Energy retrofits are upgrades which include upgrading insulation, reducing air leakage, and installing more efficient space and water heating systems. The program has been designed to simplify the process for homes to reduce energy consumption.

",,,City of Nelson,Municipal government,,2022-05-15 00:00:00.0
3567,Residential,British Columbia,Energy Efficient Products Program,"Awareness/Information,Financial Incentive",,"This Program provides information on various energy efficiency products, including rebates on some of these products.",,,BC Hydro  - Residential Customers,Utility company,,2022-05-15 00:00:00.0
3570,Residential,British Columbia,Energy Savings Kit Program,"Awareness/Information,Financial Incentive,Retrofit",,"The Energy Savings Kit Program is an income qualified program for residential account holders. The program is offered in partnership with FortisBC and Pacific Northern Gas.

The kit contains energy saving products that can be easily installed. This includes LED bulbs, weatherstripping, high efficiency showerheads, tap aerators, LED night lights, fridge and freezer thermometers. Installation guides are also provided to help with product installs.",,,BC Hydro  - Residential Customers,Utility company,,2022-01-31 00:00:00.0
3571,Residential,British Columbia,Energy Conservation Assistance Program ,"Advice,Awareness/Information,Energy Star,Financial Incentive",,"The Energy Conservation Assistance Program is an income qualified program for residential account holders. The program is offered in partnership with FortisBC and Pacific Northern Gas. 

Upgrades can include energy efficient LED light bulbs, water efficient showerheads, faucet aerators, and draftproofing. Some homes may also qualify for an ENERGY STAR<sup>®</sup> fridge replacement, high efficiency gas furnace replacement, or insulation.

An energy coach will work with you to review energy use inside the home, and provide personalized energy saving advice. ",,,BC Hydro  - Residential Customers,Utility company,,2022-01-31 00:00:00.0
3588,Commercial/Institutional,British Columbia,Energy Manager Program,"Energy Management and Monitoring,Financial Incentive",,"This Program helps organizations by subsidizing the compensation package of an Energy Manager. An Energy Manager identifies energy efficiency solutions, manages the implementation of energy saving projects, and implements organizational changes to adopt a structured energy management program that ensures optimization of energy dollars.
",,,BC Hydro - Business Customers - Commercial,Utility company,,2018-11-21 00:00:00.0
3591,Commercial/Institutional,British Columbia,Strategic Energy Management,"Energy Management and Monitoring,Financial Incentive",,"Commercial, government or institutional organizations that spend at least $200,000 annually on electricity are eligible for this program. Implementation funding is available to large commercial, government and institutional customers to reduce the capital cost of implementing electrical energy efficiency projects through the Project Implementation Funding program.",,,BC Hydro - Business Customers - Commercial,Utility company,,2022-05-15 00:00:00.0
3592,Commercial/Institutional,British Columbia,Business Energy Saving Incentives,"Energy Star,Financial Incentive,Retrofit",,"This Program helps B.C. businesses reduce their operating costs through the implementation of energy-efficiency projects (lighting, HVAC, refrigeration (including ENERGY STAR®)) by offering incentives that can help cover up to 25% of the cost of the project.",,,BC Hydro - Business Customers - Commercial,Utility company,,2022-05-04 00:00:00.0
3599,Industrial,British Columbia,Energy Studies &amp; Audits - End-Use Assessment,"Advice,Energy Management and Monitoring,Financial Incentive",,Experts are available to visit client sites to conduct a detailed analysis and assess options to improve inefficiencies. Power Smart offers 100 percent funding of the assessment (some limits apply). Funding is available for detailed energy efficiency and feasibility studies to help build a solid business case to upgrade plant and equipment systems.,,,BC Hydro - Business Customers - Industrial,Utility company,,2018-11-21 00:00:00.0
3600,Industrial,British Columbia,Energy Studies &amp; Audits - Energy Efficiency Feasibility Study,"Advice,Energy Management and Monitoring,Financial Incentive,Retrofit",,"This Program provides participants with a detailed report concerning everything needed to build a solid business case for efficiency upgrades including:<ul>
<li>assessment of options;</li>
<li>estimated savings;</li>
<li>implementation costs.</li></ul>
The Program also offers business support from experts to provide knowledge and information to assist with energy efficiency upgrades. Funding of up to 100 percent, with 75 percent of study costs funded right away. The remaining 25 percent is funded if participants implement a major efficiency upgrade within 18 months. The study report can be used to apply directly for funding to implement a system upgrade under the Project Incentive Program.",,,BC Hydro - Business Customers - Industrial,Utility company,,2018-11-21 00:00:00.0
3601,Industrial,British Columbia,Project Incentives - Self-Serve Incentive Program,"Financial Incentive,Retrofit",,The Self-Serve Incentive Program online application process allows participants to apply for incentives for eligible compressed air and lighting retrofits. Incentives cover up to 75&nbsp;percent of project costs.,,,BC Hydro - Business Customers - Industrial,Utility company,,2018-11-21 00:00:00.0
3606,Industrial,British Columbia,Strategic Energy Management - Industrial Energy Manager,"Energy Management and Monitoring,Financial Incentive",,"This Program provides advanced funding to hire an energy manager to develop and implement a Strategic Energy Management Plan. The Program includes:<ul>
<li>up to 75 percent salary funding for 2 years</li>
<li>100 percent of the cost for management coaching</li>
<li>100 percent funding for required training for energy managers</li>
<li>100 percent funding for the full cost of an on-site Energy Management Assessment</li>
<li>a fully-funded workshop to facilitate creation of a customized plan</li>
<li>100 percent funding for an Employee Awareness Planning workshop and funding of employee engagement activities including training and awareness events</li></ul>",,,BC Hydro - Business Customers - Industrial,Utility company,,2018-11-21 00:00:00.0
3607,Industrial,British Columbia,Strategic Energy Management - Employee Energy Awareness,"Awareness/Information,Energy Management and Monitoring",,"Power Smart provides a range of resources designed to encourage employee awareness around energy efficiency. A variety of free materials are available that can be used to remind, educate, and introduce new operational procedures. Downloadable materials are also available through the website. Industrial customers who use more than four gigawatt-hours of electricity per year can order printed materials by contacting their key account manager.
",,,BC Hydro - Business Customers - Industrial,Utility company,,2018-11-21 00:00:00.0
3612,Commercial/Institutional,British Columbia,Commercial New Construction Program,"Awareness/Information,Financial Incentive,New Construction",,"This Program offers financial incentives<ul>
<li>to owners of medium to large buildings to study different energy saving systems</li>
<li>to owners of small to large buildings (including multi-unit residential buildings) for energy efficient lighting design </li>
<li>to owners of large buildings in the early stage of the design process that have potential electricity savings with at least 50,000 kWh per year</li></ul>",,,BC Hydro - Builders &amp; Developers,Utility company,,2018-11-21 00:00:00.0
3613,Residential,British Columbia,Customer Build Program,"Energy Management and Monitoring,Standards (Voluntary or Regulated)",,"We support developers in the design and construction of underground residential developments through our Customer Build Program.<br><br>
The program uses selected professional electrical engineering firms, which are referred to as Certified Service Providers (CSPs). Customers hire CSPs to deliver the electrical portion of underground residential projects in accordance with BC Hydro standards. <br><br>
","To take part in the program, the development must:<ul>
<li>be a new development that's primarily residential (subdivision, townhouses, row houses) but may have some commercial loads;</li>
<li>be greater than five units;</li>
<li>serve customers at secondary voltage from BC Hydro transformers (developments or buildings that require customer-owned substations are not eligible)</li></ul>
",,BC Hydro - Builders &amp; Developers,Utility company,,2024-06-05 00:00:00.0
3634,Residential,New Brunswick,Appliance Meter Lending Program,Energy Management and Monitoring,,"NB Power and the New Brunswick Public Library Service are pleased to offer appliance energy meters that measure how much energy appliances use. Homeowners can borrow the meters, free of charge, from any public library or bookmobile. The meter monitors how much energy the appliances in a home use over a period of time. That information can be used to identify ways to use less energy.<br><br>
",,,NB Power,Utility company,,2022-05-15 00:00:00.0
3635,Residential,Nova Scotia,Fridge and Freezer Recycling Program,"Awareness/Information,Financial Incentive",,"This Program provides an incentive for the pickup and proper recycling of an old inefficient fridge, freezer and room air conditioner.<br><br>
",,,Efficiency Nova Scotia,Provincial government,,2022-05-15 00:00:00.0
3638,Residential,Nova Scotia,Efficient Product Installation Service,"Financial Incentive,Retrofit",,"Efficiency Nova Scotia will upgrade a resident's home or apartment with energy efficient products at no cost. It will arrange for qualified partners to install products such as:  electric hot water tanks and pipe wrap,  CFLs, LED night lights, low-flow shower heads, and water aerators.<br><br>
",,,Efficiency Nova Scotia,Provincial government,,2018-11-21 00:00:00.0
3640,"Commercial/Institutional,Industrial",Nova Scotia,Energy Management Program,"Energy Management and Monitoring,Training/Technical Assistance",,"Efficiency Nova Scotia will help make energy visible to organizations through the use of energy meters, data collection, and information analysis, and will provide incentives each step of the way to help your organization become more efficient.<br><br>
",,,Efficiency Nova Scotia,Provincial government,,2022-05-15 00:00:00.0
3651,Commercial/Institutional,Ontario,SAVE ON ENERGY - EXISTING BUILDING COMMISSIONING (EBCx),Financial Incentive,,"Save on Energy’s Existing Building Commissioning (EBCx) program is designed to help owners, operators and managers of commercial and institutional buildings in Ontario improve their energy management. Implementing building management best practices will help reduce energy waste, enhance occupant comfort and increase profitability. ",,,Independent Electricity System Operator Save on Energy,Utility company,,2023-07-11 00:00:00.0
3687,Residential,Ontario,Retrofit Accelerator,Retrofit,,"Multi-residential buildings form the backbone of the housing stock in the Greater Toronto and Hamilton Area (GTHA). However, there is little regional experience when it comes to deep energy retrofits. To identify and overcome decarbonization barriers, The Atmospheric Fund (TAF) works with building owners, utilities, governments, and other stakeholders under the TowerWise program launched in 2007. <br><br>
TAF partners with a broad range of multi-residential building operators to design, construct and finance major retrofits in the GTHA. Building upgrades include new condensing boilers, heat pumps, LED lighting, smart thermostats, and many more. The program team documents the effects through real-time building performance monitoring and research-grade instrumentation of key equipment and systems. As one of few such demonstration programs in Canada, the most recent TowerWise phase showed that 20-30 percent energy savings are achievable and highly profitable. The next program phase aims for energy and emissions savings of more than 40 percent.",,,The Atmospheric Fund,Other organization,,2022-05-15 00:00:00.0
3712,"Commercial/Institutional,Residential",Ontario,Livegreen Toronto - Eco-Roof Incentive Program,"Financial Incentive,Retrofit",,"Toronto's Eco-Roof Incentive Program is designed to promote the use of green and cool roofs on Toronto's existing residential, commercial, industrial and institutional buildings, and new residential, commercial, industrial and institutional buildings with a gross floor area of less than of 2,000 m<sup>2</sup>. Green and cool roofs help reduce urban heat and associated energy use. Green roofs also help manage stormwater runoff (reducing the pollutants that enter our waterways), enhance biodiversity, improve air quality, and beautify the city.<br><br>",,,City of Toronto,Municipal government,,2022-05-15 00:00:00.0
3766,Industrial,Ontario,Indigenous Community Energy Plan (ICEP) Program,"Advice,Awareness/Information,Energy Management and Monitoring,Financial Incentive",,"The ICEP Program is a proposal-based program where an Indigenous community or organization may submit a proposal for funding to develop or update an existing Aboriginal community energy plan to improve energy efficiency, reduce electricity consumption and assess opportunities for green energy solutions. Successful applicants to the new energy plan stream will receive up to $90,000; whereas successful applicants to the existing energy plan stream will receive up to $25,000.<br><br>",,,Independent Electricity System Operator Save on Energy,Utility company,,2022-05-04 00:00:00.0
3767,"Commercial/Institutional,Industrial,Residential,Transportation",Ontario,City of Guelph Community Energy Initiative,Energy Management and Monitoring,,"The Community Energy Initiative (formerly Community Energy Plan - CEP) is Guelph's commitment to use and manage energy differently. Guelph's goals under the plan are to:<ul>
<li>use less energy in 25 years than they do today</li>
<li>consume less energy per capita than comparable Canadian cities</li>
<li>produce less greenhouse gas per capita than the current global average</li></ul>",,,City of Guelph,Municipal government,,2018-11-21 00:00:00.0
3846,Residential,Quebec,Superior Energy-Efficiency Boiler,"Energy Star,Financial Incentive,Retrofit",,"The superior energy-efficiency boiler is designed to improve heat exchange between combustion gases and the water being heated. This unit features fast uniform heat for heating the rooms in your house. <br><br>

This Program offers customers a financial incentive to facilitate access to ENERGY STAR<sup>®</sup> Certified boilers by paying the cost difference between these high-performance units and basic models. <br><br>

The financial incentive offered by Énergir is for the energy-efficiency boilers of 300&nbsp;000&nbsp;BTU/h and less which have ENERGY STAR<sup>®</sup> certification because they provide an annual fuel utilization efficiency (AFUE) of equal to or higher than 85%.<br><br>","Consult the Web site for a list of eligible equipment. To take advantage of the Gaz Métro financial assistance, a standard contract must be signed with a Gaz Métro representative or a Gaz Métro Authorized Partner.",,Énergir,Utility company,,2018-11-21 00:00:00.0
